ID,VideoID,Title,YouTuber,Link,Duration,Train / Val,Mini / Full Set,Nation or Area (Inferred by GPT),"State, Province, or City (Inferred by GPT and refined by human)",Discarded Length at the Begininning (second),Discarded Length at the Ending (second)
1,--I-TdCe2_g,Cairo 4K - Driving Downtown - Egypt,J Utah,https://www.youtube.com/watch?v=--I-TdCe2_g,43:47,Train,Mini,Arab Republic of Egypt,Cairo,90,30
2,-0qvF0wddpo,4K DRIVE Buenos Aires ARGENTINA CORDOBA Avenue 4k video VLOG,4K DRIVE,https://www.youtube.com/watch?v=-0qvF0wddpo,15:39,Train,Full,Argentina,"Buenos Aires, Cordoba",90,60
3,-6Gm8dwdQ0E,4K DRIVE Way to San Carlos MALDONADO Uruguay 4K video TRAVEL,4K DRIVE,https://www.youtube.com/watch?v=-6Gm8dwdQ0E,26:50,Train,Full,Uruguay,San Carlos,90,60
4,-8-6KK503kM,"A Drive Through Jacksonville, Florida on US 1, in 4K",takemytripdotcom,https://www.youtube.com/watch?v=-8-6KK503kM,36:56,Train,Full,United States of America,Florida,90,60
5,-G92wLAhsWk,"Driving Pacific Coast Highway (PCH) | Long Beach to Laguna Beach | California, USA [4K]",Road Therapy,https://www.youtube.com/watch?v=-G92wLAhsWk,47:30,Train,Full,United States of America,California,90,60
6,-GrFwuiFqbc,"Henderson Nevada to Kingman, AZ across the O'Callaghan Tillman Bridge at Hoover Dam: 4K Scenic Drive",takemytripdotcom,https://www.youtube.com/watch?v=-GrFwuiFqbc,1:27:49,Train,Full,United States of America,Nevada,90,60
7,-Ijw4MYBRhY,"Chicago SW Suburbs 4K - Driving in the Chicago Suburbs of Naperville, Lisle, Downers Grove",Slipstream Motion Pictures Ltd. (Video Tours),https://www.youtube.com/watch?v=-Ijw4MYBRhY,25:19,Train,Full,United States of America,Illinois,90,60
8,-KAn9Fb717o,New York City 4K - Empire State Building - Driving Downtown USA,J Utah,https://www.youtube.com/watch?v=-KAn9Fb717o,14:47,Train,Full,United States of America,New York,90,30
9,-Llo1SgsZR8,4K Driving in Chicago - Downtown & South Loop - HDR - USA - 2023,USA Thrill,https://www.youtube.com/watch?v=-Llo1SgsZR8,36:02,Train,Full,United States of America,Illinois,90,30
10,-M2PyxLvSDQ,"4K Canton, Ohio Downtown Tour - Driving to Downtown Canton on I-77",Slipstream Motion Pictures Ltd. (Video Tours),https://www.youtube.com/watch?v=-M2PyxLvSDQ,26:25,Train,Full,United States of America,Ohio,90,60
